TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,TransactionSize,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,Lansia,Sedikit,0
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,Lansia,Sedang,3
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,Remaja,Sedikit,2
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,Dewasa Muda,Sedikit,0
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,Remaja,Sedikit,2
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,Dewasa Muda,Sedikit,0
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,Lansia,Sedikit,3
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,Dewasa,Sedikit,3
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,Dewasa,Banyak,2
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,Dewasa,Sedikit,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,Remaja,Sedikit,2
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,Remaja,Sedang,2
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,Dewasa Muda,Sedang,2
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,Remaja,Sedikit,2
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,Dewasa Muda,Sedang,1
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,Remaja,Sedang,1
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,Dewasa Muda,Sedang,1
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,Dewasa,Sedikit,1
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,Remaja,Sedikit,1
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,Lansia,Sedikit,3
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,Dewasa Muda,Sedikit,3
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,Dewasa Muda,Sedikit,1
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,Remaja,Sedikit,0
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,Lansia,Sedikit,3
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,Dewasa Muda,Sedikit,2
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,Dewasa,Sedikit,3
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,Dewasa Muda,Sedikit,3
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,Dewasa,Sedikit,2
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,Dewasa Muda,Sedikit,1
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,Remaja,Banyak,3
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,Dewasa,Sedang,0
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,Dewasa,Sedikit,0
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,Dewasa Muda,Sedikit,2
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,Dewasa,Sedang,2
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,Lansia,Sedang,0
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,Dewasa Muda,Sedikit,2
241.42000000000002,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,Dewasa,Sedang,1
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,Remaja,Sedikit,0
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,Dewasa Muda,Sedang,2
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,Lansia,Sedang,1
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,Dewasa Muda,Sedikit,1
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,Remaja,Sedang,2
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,Dewasa Muda,Sedang,1
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,Dewasa,Sedikit,0
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,Lansia,Sedang,3
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,Dewasa,Sedang,2
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,Lansia,Sedikit,0
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,Dewasa Muda,Sedikit,0
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,Lansia,Sedikit,2
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,Remaja,Sedang,2
60.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,Dewasa,Sedikit,1
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,Lansia,Sedang,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,Dewasa,Sedang,3
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,Remaja,Sedikit,3
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,Dewasa,Sedang,3
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,Dewasa,Sedang,3
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,Dewasa,Sedang,2
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,Dewasa,Sedikit,1
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,Dewasa,Sedang,2
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,Dewasa,Sedang,3
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,Remaja,Sedang,1
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,Dewasa,Sedikit,1
189.12,Credit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,Dewasa Muda,Sedikit,3
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,Dewasa,Sedikit,1
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,Dewasa Muda,Sedikit,1
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,Lansia,Sedikit,1
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,Dewasa Muda,Sedang,3
232.12,Debit,,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,Dewasa Muda,Sedang,0
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,Dewasa,Sedikit,2
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,Remaja,Sedikit,2
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,Dewasa,Sedikit,0
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,Dewasa Muda,Sedikit,1
345.39,Credit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,Dewasa,Sedang,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,Dewasa,Sedang,1
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,Dewasa Muda,Sedikit,0
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,Lansia,Sedikit,2
568.07,,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,Dewasa,Sedang,0
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,Dewasa,Sedikit,0
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,Remaja,Sedang,3
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,Dewasa,Sedang,2
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,Remaja,Sedang,3
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,Dewasa Muda,Sedang,0
508.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,Dewasa,Sedang,2
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,Dewasa Muda,Banyak,0
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,Dewasa,Sedikit,2
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,Lansia,Sedikit,1
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,Dewasa Muda,Sedikit,0
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,Dewasa Muda,Sedang,3
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,Remaja,Sedikit,3
83.24,,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,Dewasa,Sedikit,3
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,Dewasa Muda,Sedikit,0
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,Dewasa Muda,Sedikit,3
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,Dewasa,Sedang,1
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,Dewasa,Sedikit,0
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,Dewasa Muda,Sedang,0
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,Remaja,Sedang,3
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,Lansia,Sedikit,0
245.54,,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,Remaja,Sedang,2
254.37000000000003,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,Dewasa,Sedang,1
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,Lansia,Sedang,1
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,Dewasa Muda,Sedang,3
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,Dewasa,Sedikit,0
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,Lansia,Sedang,1
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,Dewasa Muda,Sedang,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,Dewasa Muda,Sedikit,3
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,Lansia,Sedikit,3
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,Dewasa,Sedikit,3
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,Dewasa Muda,Sedang,3
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,Dewasa,Sedang,0
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,Dewasa,Sedikit,0
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,Lansia,Sedang,3
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,Dewasa,Sedang,2
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,Dewasa Muda,Banyak,0
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,Dewasa Muda,Sedikit,2
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,Dewasa Muda,Sedikit,2
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,Lansia,Sedang,0
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,Dewasa,Sedang,2
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,Remaja,Sedikit,3
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,Dewasa,Sedang,1
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,Dewasa,Sedikit,2
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,Remaja,Sedang,2
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,Remaja,Sedang,0
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,Remaja,Sedang,1
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,Dewasa Muda,Sedikit,1
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,Remaja,Sedang,1
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,Lansia,Sedang,2
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,Remaja,Sedikit,3
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,Lansia,Sedang,2
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,Dewasa,Sedang,2
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,Lansia,Sedikit,0
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,Dewasa Muda,Sedang,1
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,Remaja,Sedang,0
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,Lansia,Sedang,0
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,Dewasa Muda,Sedang,0
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,Dewasa Muda,Sedikit,0
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,Remaja,Sedikit,2
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,Lansia,Banyak,2
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,Remaja,Sedikit,1
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,Lansia,Sedikit,0
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,Dewasa,Sedikit,2
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,Dewasa Muda,Sedang,3
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,Dewasa,Sedikit,0
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,Lansia,Sedikit,2
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,Dewasa Muda,Sedang,2
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,Lansia,Sedikit,1
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,Dewasa Muda,Sedang,3
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,Remaja,Sedang,3
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,Dewasa Muda,Sedang,3
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,Dewasa,Sedikit,3
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,Lansia,Sedikit,1
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,Remaja,Sedang,1
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,Remaja,Sedikit,1
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,Dewasa Muda,Sedikit,0
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,Remaja,Sedang,1
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,Lansia,Sedang,2
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,Dewasa,Sedikit,2
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,Dewasa,Sedang,2
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,Dewasa,Sedang,1
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,Lansia,Sedang,3
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,Remaja,Sedikit,0
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,Dewasa,Sedang,3
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,Dewasa,Sedang,0
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,Lansia,Sedang,2
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,Dewasa,Sedikit,2
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,Dewasa Muda,Sedang,3
226.37,,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,Dewasa,Sedang,2
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,Dewasa,Sedang,3
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,Remaja,Sedang,0
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,Dewasa,Sedang,3
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,Dewasa,Sedikit,3
199.39,,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,Lansia,Sedikit,1
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,Lansia,Sedikit,0
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,Dewasa,Sedang,1
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,Remaja,Sedang,3
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,Dewasa,Sedikit,1
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,Dewasa,Sedang,0
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,Dewasa,Sedikit,2
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,Lansia,Sedang,1
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,Dewasa Muda,Banyak,2
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,Dewasa,Sedang,3
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,Dewasa,Sedang,3
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,Lansia,Sedang,0
432.08,,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,Dewasa Muda,Sedang,3
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,Lansia,Sedang,2
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,Dewasa,Sedikit,2
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,Remaja,Sedikit,1
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,Dewasa Muda,Banyak,3
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,Lansia,Sedang,2
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,Dewasa,Sedikit,1
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,Lansia,Sedang,2
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,Lansia,Sedang,1
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,Dewasa Muda,Sedang,0
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,Dewasa,Sedang,1
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,Dewasa,Sedang,3
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,Dewasa,Sedikit,0
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,Remaja,Sedang,1
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,Dewasa,Sedikit,2
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,Remaja,Sedang,1
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,Dewasa,Sedang,2
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,Dewasa,Sedang,1
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,Dewasa,Sedikit,3
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,Dewasa Muda,Sedikit,0
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,Dewasa,Sedikit,2
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,Dewasa,Sedang,2
368.91,,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,Dewasa,Sedang,0
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,Dewasa,Sedikit,3
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,Dewasa Muda,Sedikit,2
177.08,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,Dewasa Muda,Sedikit,3
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,Dewasa Muda,Sedang,0
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,Remaja,Sedikit,2
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,Dewasa,Sedikit,2
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,Dewasa,Sedikit,2
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,Lansia,Sedikit,1
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,Remaja,Sedikit,2
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,Remaja,Sedang,3
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,Dewasa,Banyak,0
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,Dewasa,Sedikit,1
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,Dewasa,Sedang,2
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,Lansia,Sedang,0
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,Remaja,Sedang,0
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,Remaja,Sedang,1
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,Dewasa Muda,Sedang,3
186.6,Debit,,Online,58.0,Doctor,13.0,1.0,1508.72,Dewasa,Sedikit,0
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,Remaja,Sedang,0
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,Dewasa,Sedang,2
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,Dewasa,Sedang,0
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,Remaja,Sedikit,1
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,Dewasa,Sedikit,3
47.38,Credit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,Remaja,Sedikit,0
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,Lansia,Sedang,0
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,Dewasa,Sedang,2
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,Dewasa,Sedikit,3
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,Dewasa,Sedang,3
270.72,Credit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,Dewasa Muda,Sedang,0
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,Lansia,Sedikit,1
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,Lansia,Sedikit,0
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,Dewasa,Sedang,0
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,Dewasa Muda,Sedikit,3
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,Dewasa Muda,Sedikit,1
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,Dewasa,Sedang,2
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.7299999999996,Lansia,Sedikit,1
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.5800000000004,Lansia,Sedang,3
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,Lansia,Sedikit,0
671.73,Debit,Washington,Branch,58.0,Engineer,53.99999999999999,1.0,5211.88,Dewasa,Sedang,0
255.03999999999996,Debit,Seattle,ATM,45.0,Engineer,151.99999999999997,1.0,6217.86,Dewasa,Sedang,0
45.77,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,Remaja,Sedikit,2
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1.0,1671.66,Dewasa Muda,Sedang,0
11.92,Debit,San Diego,,53.0,Doctor,52.00000000000001,1.0,14611.9,Dewasa,Sedikit,0
47.42,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,Lansia,Sedikit,0
35.99,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,Lansia,Sedikit,2
151.19,Credit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,Dewasa Muda,Sedikit,2
242.62,Credit,San Francisco,Online,22.0,Student,234.0,1.0,483.02000000000004,Remaja,Sedang,0
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.0799999999999,Remaja,Sedikit,0
43.46,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.06,Remaja,Sedikit,1
